thorax_q1,thorax_q2,thorax_q3,thorax_q4,thorax_ax,thorax_ay,thorax_az,thorax_gx,thorax_gy,thorax_gz,thorax_mx,thorax_my,thorax_mz,thorax_barometer,thorax_linAcc_x,thorax_linAcc_y,thorax_linAcc_z,thorax_altitude,humerus_q1,humerus_q2,humerus_q3,humerus_q4,humerus_ax,humerus_ay,humerus_az,humerus_gx,humerus_gy,humerus_gz,humerus_mx,humerus_my,humerus_mz,humerus_barometer,humerus_linAcc_x,humerus_linAcc_y,humerus_linAcc_z,humerus_altitude,radius_q1,radius_q2,radius_q3,radius_q4,radius_ax,radius_ay,radius_az,radius_gx,radius_gy,radius_gz,radius_mx,radius_my,radius_mz,radius_barometer,radius_linAcc_x,radius_linAcc_y,radius_linAcc_z,radius_altitude,
0.9247514,+0.8169124,-0.5519216,-0.1674399,+0.0007611,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,+0.9278316,-0.3699234,+0.0478015,+0.0002837,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,+0.9916207,-0.0645427,-0.1117388,-0.0061017,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,
0.9347537,+0.8169646,-0.5518404,-0.1674533,+0.0007673,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,+0.9278857,-0.3697744,+0.0479039,+0.0005281,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,+0.9916177,-0.0645362,-0.1117627,-0.0062046,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,
0.9447564,+0.8170073,-0.5517703,-0.1674754,+0.0007773,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,+0.9279351,-0.3696176,+0.0481551,+0.0007628,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,+0.9916068,-0.0645407,-0.1118541,-0.0062550,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,
0.9547514,+0.8170272,-0.5517437,-0.1674662,+0.0007765,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,+0.9280632,-0.3692199,+0.0487247,+0.0011326,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,+0.9915659,-0.0647850,-0.1120744,-0.0062752,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,
0.9657517,+0.8170405,-0.5517353,-0.1674292,+0.0007533,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,+0.9280804,-0.3691432,+0.0489735,+0.0012906,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,+0.9915421,-0.0649115,-0.1122110,-0.0062763,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,
0.9757532,+0.8170849,-0.5516772,-0.1674036,+0.0007479,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,+0.9280775,-0.3691213,+0.0491881,+0.0015039,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,+0.9914833,-0.0652120,-0.1125670,-0.0060743,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,
0.9847544,+0.8171121,-0.5516397,-0.1673938,+0.0007490,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,+0.9280604,-0.3691869,+0.0490187,+0.0015023,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,+0.9914426,-0.0653923,-0.1128324,-0.0058655,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,
0.9954109,+0.8171200,-0.5516262,-0.1674002,+0.0007561,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,+0.9280829,-0.3693191,+0.0475814,+0.0012471,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,+0.9913592,-0.0656379,-0.1134462,-0.0053506,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,
1.0054079,+0.8171299,-0.5516092,-0.1674083,+0.0007651,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,+0.9281164,-0.3693812,+0.0464366,+0.0010285,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,+0.9913354,-0.0657900,-0.1135763,-0.0051251,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,
1.015409,+0.8171505,-0.5515705,-0.1674352,+0.0007912,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,+0.9282537,-0.3692981,+0.0443112,+0.0007229,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,+0.9913120,-0.0662022,-0.1135558,-0.0047877,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,
1.025408,+0.8171481,-0.5515689,-0.1674512,+0.0008023,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,+0.9283098,-0.3692288,+0.0437078,+0.0007184,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,+0.9913075,-0.0664153,-0.1134775,-0.0046192,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,
1.0354065,+0.8171838,-0.5515162,-0.1674508,+0.0008129,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,+0.9283482,-0.3691595,+0.0434780,+0.0008065,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,+0.9912952,-0.0666186,-0.1134736,-0.0044209,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,
1.0454092,+0.8172239,-0.5514591,-0.1674431,+0.0008194,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,+0.9284009,-0.3689916,+0.0437724,+0.0009219,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,+0.9912578,-0.0670939,-0.1135327,-0.0040807,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,
1.0554078,+0.8172638,-0.5514205,-0.1673761,+0.0008445,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,+0.9284124,-0.3689380,+0.0439811,+0.0009577,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,+0.9912068,-0.0672879,-0.1138661,-0.0039945,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,
1.0654097,+0.8173634,-0.5513411,-0.1671505,+0.0008844,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,+0.9284924,-0.3687253,+0.0440718,+0.0010113,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,+0.9911167,-0.0672360,-0.1146821,-0.0038712,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,
